sku,name,cost_usd,verified,moq,note,capacity_cu_in,height_in,width_in,depth_in,weight_lb,in_stock,source_url
PM-STL-CYL-060,Stillwater Steel Urn,,,,,60,6.1,4.3,4.3,1.6,yes,https://www.alibaba.com/product-detail/Wholesale-Pet-Supplies-Stainless-Steel-Urns_1601313993645.html
PM-CER-DOM-045,Morning Light Ceramic Urn,,,,,45,5.5,4.7,4.7,2.1,yes,https://www.alibaba.com/product-detail/Modern-Eco-Friendly-Ceramic-Urn-with_1601665991491.html
PM-CER-BON-030,Good Boy Bone Urn,,,,,30,3.4,7.2,3.1,1.7,yes,https://www.alibaba.com/product-detail/Pet-Cremation-Bone-Ashes-Memorial-Urn_1601783662096.html
PM-POR-VAS-050,Hollow Cream Porcelain Urn,,,,,50,6.4,4.5,4.5,2.4,yes,https://www.alibaba.com/product-detail/Handmade-Custom-Cream-Porcelain-Eco-Friendly_1601848092808.html
PM-WOD-BOX-055,Quiet Hours Memory Box,,,,,55,4.2,7.5,5.4,2.2,yes,https://www.alibaba.com/product-detail/Pet-Memorial-Products-Animal-Ashes-Box_1601904256896.html
PM-CER-DOG-035,Sleeping Dog Urn,,,,,35,4.6,7,4,2,yes,https://www.alibaba.com/product-detail/Eco-Friendly-Ceramic-Dog-Shaped-Pet_1601717870739.html
PM-CER-VAS-040,Long Walk Memorial Urn,,,,,40,5.8,4.4,4.4,2,yes,https://www.alibaba.com/product-detail/Cross-border-Pet-Cremation-Urn-Memorial_1601783543273.html
PM-STL-CYL-025,Small Hours Steel Urn,,,,,25,4.4,3.3,3.3,1.1,yes,https://www.alibaba.com/product-detail/Stainless-Steel-Modern-Minimalism-Cylindrical-Pet_1601786812358.html
PM-CER-DOM-030,Rosewater Ceramic Urn,,,,,30,4.9,4.2,4.2,1.8,yes,https://www.alibaba.com/product-detail/Handmade-Modern-Pink-Ceramic-ELEVE-Pet_11000028742198.html
PM-STL-KEY-001,Always With Me Keyring,,,,,0.2,1.6,0.5,0.5,0.06,yes,https://www.alibaba.com/product-detail/Waterproof-Pet-Urn-KeyChain-Stainless-Steel_1601926958423.html
PM-STL-WNG-001,Little Wings Keyring,,,,,0.2,1.9,0.9,0.5,0.07,yes,https://www.alibaba.com/product-detail/Wings-Pet-Urn-KeyChain-Stainless-Steel_1601927017073.html
PM-RES-ANU-040,Guardian Anubis Urn,,,,,40,9.2,3.6,3.6,2.3,yes,https://www.alibaba.com/product-detail/Custom-Egyptian-Anubis-Dog-Memorial-Urn_1600491094231.html
PM-CER-ANG-015,Angel Bone Keepsake,,,,,15,3,4.4,2.4,0.8,yes,https://www.alibaba.com/product-detail/In-stock-Handmade-Angelic-Bone-Shaped_1601706275995.html
PM-BIO-SED-045,Seedfall Biodegradable Urn,,,,,45,5.5,5.5,5.5,0.7,yes,https://www.alibaba.com/product-detail/Eco-Friendly-Biodegradable-Boying-Brand-Round_1601749801879.html
PM-RES-CAT-025,Bastet Cat Urn,,,,,25,8.4,3.2,3.2,1.9,yes,https://www.alibaba.com/product-detail/Customized-Resin-Cat-Egyptian-Urn_1600238889477.html
